distance_m,scenario,rssi_dbm
1.0,密林,-37.16
2.0,密林,-45.769
4.0,密林,-55.088
6.0,密林,-58.107
8.0,密林,-63.154
10.0,密林,-65.606
12.0,密林,-66.995
14.0,密林,-69.754
16.0,密林,-73.25
18.0,密林,-77.781
20.0,密林,-80.733
22.0,密林,-82.876
24.0,密林,-83.529
26.0,密林,-84.219
28.0,密林,-87.218
30.0,密林,-88.217
32.0,密林,-85.417
34.0,密林,-90.34
36.0,密林,-86.737
38.0,密林,-85.497
40.0,密林,-88.783
42.0,密林,-89.411
44.0,密林,-89.191
46.0,密林,-86.863
48.0,密林,-89.538
50.0,密林,-94.466
60.0,密林,-96.0
65.0,密林,-93.183
70.0,密林,-92.575
75.0,密林,-92.975
80.0,密林,-95.901
85.0,密林,-101.879
90.0,密林,-100.244
95.0,密林,-102.778
100.0,密林,-102.328
110.0,密林,-97.321
120.0,密林,-102.569
130.0,密林,-105.342
140.0,密林,-102.885
150.0,密林,-105.006
160.0,密林,-110.483
170.0,密林,-111.355
180.0,密林,-105.843
190.0,密林,-108.621
200.0,密林,-113.026
210.0,密林,-107.117
220.0,密林,-109.68
230.0,密林,-117.336
240.0,密林,-112.985
250.0,密林,-112.386
260.0,密林,
270.0,密林,-114.923
280.0,密林,-114.214
290.0,密林,-115.125
300.0,密林,
310.0,密林,
320.0,密林,
330.0,密林,
340.0,密林,
350.0,密林,
360.0,密林,
370.0,密林,
380.0,密林,
390.0,密林,
400.0,密林,
410.0,密林,
420.0,密林,
430.0,密林,
440.0,密林,
450.0,密林,
460.0,密林,
470.0,密林,
480.0,密林,
490.0,密林,
500.0,密林,
1.0,疏密结合,-32.198
2.0,疏密结合,-44.768
4.0,疏密结合,-49.169
6.0,疏密结合,-55.621
8.0,疏密结合,-58.317
10.0,疏密结合,-62.222
12.0,疏密结合,-61.563
14.0,疏密结合,-66.76
16.0,疏密结合,-69.54
18.0,疏密结合,-74.245
20.0,疏密结合,-73.641
22.0,疏密结合,-78.079
24.0,疏密结合,-78.272
26.0,疏密结合,-78.919
28.0,疏密结合,-81.141
30.0,疏密结合,-82.439
32.0,疏密结合,-80.648
34.0,疏密结合,-85.844
36.0,疏密结合,-80.115
38.0,疏密结合,-80.786
40.0,疏密结合,-82.339
42.0,疏密结合,-84.435
44.0,疏密结合,-81.037
46.0,疏密结合,-81.62
48.0,疏密结合,-85.956
50.0,疏密结合,-86.641
60.0,疏密结合,-91.765
65.0,疏密结合,-88.696
70.0,疏密结合,-91.375
75.0,疏密结合,-87.939
80.0,疏密结合,-88.279
85.0,疏密结合,-94.456
90.0,疏密结合,-95.958
95.0,疏密结合,-97.443
100.0,疏密结合,-96.426
110.0,疏密结合,-92.478
120.0,疏密结合,-95.512
130.0,疏密结合,-98.994
140.0,疏密结合,-99.231
150.0,疏密结合,-98.906
160.0,疏密结合,-104.969
170.0,疏密结合,-104.822
180.0,疏密结合,-100.397
190.0,疏密结合,-103.423
200.0,疏密结合,-106.601
210.0,疏密结合,-102.445
220.0,疏密结合,-105.041
230.0,疏密结合,-110.159
240.0,疏密结合,-106.154
250.0,疏密结合,-105.114
260.0,疏密结合,-108.238
270.0,疏密结合,-107.452
280.0,疏密结合,-106.973
290.0,疏密结合,-106.755
300.0,疏密结合,-109.396
310.0,疏密结合,-113.877
320.0,疏密结合,-109.526
330.0,疏密结合,-109.527
340.0,疏密结合,
350.0,疏密结合,
360.0,疏密结合,-113.025
370.0,疏密结合,-114.434
380.0,疏密结合,
390.0,疏密结合,
400.0,疏密结合,
410.0,疏密结合,
420.0,疏密结合,
430.0,疏密结合,
440.0,疏密结合,
450.0,疏密结合,
460.0,疏密结合,
470.0,疏密结合,
480.0,疏密结合,
490.0,疏密结合,
500.0,疏密结合,
1.0,疏林,-31.008
2.0,疏林,-36.629
4.0,疏林,-44.952
6.0,疏林,-53.088
8.0,疏林,-56.098
10.0,疏林,-59.441
12.0,疏林,-59.866
14.0,疏林,-63.59
16.0,疏林,-64.339
18.0,疏林,-71.744
20.0,疏林,-66.948
22.0,疏林,-72.064
24.0,疏林,-72.011
26.0,疏林,-74.827
28.0,疏林,-76.171
30.0,疏林,-75.047
32.0,疏林,-74.639
34.0,疏林,-76.833
36.0,疏林,-76.788
38.0,疏林,-75.169
40.0,疏林,-78.423
42.0,疏林,-80.001
44.0,疏林,-76.66
46.0,疏林,-79.462
48.0,疏林,-82.805
50.0,疏林,-81.558
60.0,疏林,-85.0
65.0,疏林,-86.72
70.0,疏林,-86.684
75.0,疏林,-83.271
80.0,疏林,-82.462
85.0,疏林,-86.927
90.0,疏林,-90.473
95.0,疏林,-89.818
100.0,疏林,-89.247
110.0,疏林,-89.64
120.0,疏林,-89.909
130.0,疏林,-91.517
140.0,疏林,-92.417
150.0,疏林,-93.841
160.0,疏林,-95.672
170.0,疏林,-96.527
180.0,疏林,-92.813
190.0,疏林,-99.495
200.0,疏林,-100.182
210.0,疏林,-98.441
220.0,疏林,-100.641
230.0,疏林,-100.83
240.0,疏林,-99.982
250.0,疏林,-100.472
260.0,疏林,-98.278
270.0,疏林,-100.811
280.0,疏林,-98.84
290.0,疏林,-100.043
300.0,疏林,-102.644
310.0,疏林,-106.596
320.0,疏林,-100.783
330.0,疏林,-103.028
340.0,疏林,-108.686
350.0,疏林,-101.963
360.0,疏林,-104.309
370.0,疏林,-105.727
380.0,疏林,-107.045
390.0,疏林,-104.501
400.0,疏林,-106.149
410.0,疏林,
420.0,疏林,
430.0,疏林,-106.526
440.0,疏林,
450.0,疏林,-109.013
460.0,疏林,
470.0,疏林,
480.0,疏林,
490.0,疏林,
500.0,疏林,
1.0,空旷草地,-28.64
2.0,空旷草地,-33.547
4.0,空旷草地,-40.704
6.0,空旷草地,-44.566
8.0,空旷草地,-45.786
10.0,空旷草地,-53.265
12.0,空旷草地,-54.417
14.0,空旷草地,-57.752
16.0,空旷草地,-57.567
18.0,空旷草地,-57.465
20.0,空旷草地,-61.035
22.0,空旷草地,-61.63
24.0,空旷草地,-67.237
26.0,空旷草地,-64.529
28.0,空旷草地,-67.139
30.0,空旷草地,-62.76
32.0,空旷草地,-64.591
34.0,空旷草地,-64.557
36.0,空旷草地,-66.372
38.0,空旷草地,-65.17
40.0,空旷草地,-65.17
42.0,空旷草地,-67.187
44.0,空旷草地,-67.84
46.0,空旷草地,-67.703
48.0,空旷草地,-69.291
50.0,空旷草地,-70.086
60.0,空旷草地,-73.0
65.0,空旷草地,-73.959
70.0,空旷草地,-70.641
75.0,空旷草地,-74.532
80.0,空旷草地,-70.957
85.0,空旷草地,-75.505
90.0,空旷草地,-77.591
95.0,空旷草地,-80.446
100.0,空旷草地,-78.332
110.0,空旷草地,-76.976
120.0,空旷草地,-77.807
130.0,空旷草地,-81.309
140.0,空旷草地,-78.682
150.0,空旷草地,-75.742
160.0,空旷草地,-81.98
170.0,空旷草地,-84.321
180.0,空旷草地,-79.727
190.0,空旷草地,-83.282
200.0,空旷草地,-83.605
210.0,空旷草地,-81.659
220.0,空旷草地,-83.829
230.0,空旷草地,-90.098
240.0,空旷草地,-87.209
250.0,空旷草地,-83.726
260.0,空旷草地,-87.144
270.0,空旷草地,-86.838
280.0,空旷草地,-83.731
290.0,空旷草地,-87.155
300.0,空旷草地,-87.287
310.0,空旷草地,-86.034
320.0,空旷草地,-85.258
330.0,空旷草地,-86.997
340.0,空旷草地,-87.864
350.0,空旷草地,-83.537
360.0,空旷草地,-88.306
370.0,空旷草地,-91.768
380.0,空旷草地,-89.693
390.0,空旷草地,-90.854
400.0,空旷草地,-94.045
410.0,空旷草地,-93.162
420.0,空旷草地,-88.644
430.0,空旷草地,-89.882
440.0,空旷草地,-96.392
450.0,空旷草地,-95.636
460.0,空旷草地,
470.0,空旷草地,-93.406
480.0,空旷草地,
490.0,空旷草地,
500.0,空旷草地,-90.356
